visit_id,func_name,script_url,top_level_url,call_stack,symbol,operation,value,arguments,time_stamp,site_url,parent_url,script_url_tld
2493,v,https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable,https://www.helmond.nl/Inwoner,"v@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18106
x@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18408
A@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18821
c/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
Z@https://connect.facebook.net/en_US/fbevents.js:25:41777
W@https://connect.facebook.net/en_US/fbevents.js:25:40837
ha@https://connect.facebook.net/en_US/fbevents.js:25:40640
S@https://connect.facebook.net/en_US/fbevents.js:25:37071
ja@https://connect.facebook.net/en_US/fbevents.js:25:41990
@https://connect.facebook.net/en_US/fbevents.js:25:42532
value/<@https://connect.facebook.net/en_US/fbevents.js:25:13089
r@https://connect.facebook.net/en_US/fbevents.js:24:3725
each@https://connect.facebook.net/en_US/fbevents.js:24:5112
value@https://connect.facebook.net/en_US/fbevents.js:25:13052
value@https://connect.facebook.net/en_US/fbevents.js:25:13332
la@https://connect.facebook.net/en_US/fbevents.js:25:42491
@https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.8.47:21:5",window.document.cookie,set,"_fbp=fb.0.1557963998556.1282726948;expires=Tue, 13 Aug 2019 23:46:38 GMT;domain=.nl;path=/",,2019-05-15T23:46:38.997Z,http://www.helmond.nl ,http://www.helmond.nl ,facebook.net
2493,v,https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable,https://www.helmond.nl/Inwoner,"v@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18106
x@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18408
A@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18821
c/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
Z@https://connect.facebook.net/en_US/fbevents.js:25:41777
W@https://connect.facebook.net/en_US/fbevents.js:25:40837
ha@https://connect.facebook.net/en_US/fbevents.js:25:40640
S@https://connect.facebook.net/en_US/fbevents.js:25:37071
ja@https://connect.facebook.net/en_US/fbevents.js:25:41990
@https://connect.facebook.net/en_US/fbevents.js:25:42532
value/<@https://connect.facebook.net/en_US/fbevents.js:25:13089
r@https://connect.facebook.net/en_US/fbevents.js:24:3725
each@https://connect.facebook.net/en_US/fbevents.js:24:5112
value@https://connect.facebook.net/en_US/fbevents.js:25:13052
value@https://connect.facebook.net/en_US/fbevents.js:25:13332
la@https://connect.facebook.net/en_US/fbevents.js:25:42491
@https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.8.47:21:5",window.document.cookie,set,"_fbp=fb.1.1557963998556.1282726948;expires=Tue, 13 Aug 2019 23:46:38 GMT;domain=.helmond.nl;path=/",,2019-05-15T23:46:38.997Z,http://www.helmond.nl ,http://www.helmond.nl ,facebook.net
2493,s,https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable,https://www.helmond.nl/Inwoner,"s@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:17778
x@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18427
A@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18821
c/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
Z@https://connect.facebook.net/en_US/fbevents.js:25:41777
W@https://connect.facebook.net/en_US/fbevents.js:25:40837
ha@https://connect.facebook.net/en_US/fbevents.js:25:40640
S@https://connect.facebook.net/en_US/fbevents.js:25:37071
ja@https://connect.facebook.net/en_US/fbevents.js:25:41990
@https://connect.facebook.net/en_US/fbevents.js:25:42532
value/<@https://connect.facebook.net/en_US/fbevents.js:25:13089
r@https://connect.facebook.net/en_US/fbevents.js:24:3725
each@https://connect.facebook.net/en_US/fbevents.js:24:5112
value@https://connect.facebook.net/en_US/fbevents.js:25:13052
value@https://connect.facebook.net/en_US/fbevents.js:25:13332
la@https://connect.facebook.net/en_US/fbevents.js:25:42491
@https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.8.47:21:5",window.document.cookie,get,_sce=1; _ga=GA1.2.1340102085.1557963998; _gid=GA1.2.1683937453.1557963998; _gat_UA-11787356-6=1; _fbp=fb.1.1557963998556.1282726948,,2019-05-15T23:46:38.998Z,http://www.helmond.nl ,http://www.helmond.nl ,facebook.net
2493,s,https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable,https://www.helmond.nl/Inwoner,"s@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:17778
t@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:17965
z@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18642
c/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:19154
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
value@https://connect.facebook.net/en_US/fbevents.js:25:10949
value@https://connect.facebook.net/en_US/fbevents.js:25:10195
value@https://connect.facebook.net/en_US/fbevents.js:25:9821
C@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:27:47216
C/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:27:47023",window.document.cookie,get,_sce=1; _ga=GA1.2.1340102085.1557963998; _gid=GA1.2.1683937453.1557963998; _gat_UA-11787356-6=1; _fbp=fb.1.1557963998556.1282726948; _hjIncludedInSample=1,,2019-05-15T23:46:40.183Z,http://www.helmond.nl ,http://www.helmond.nl ,facebook.net
2493,s,https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable,https://www.helmond.nl/Inwoner,"s@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:17778
t@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:17965
A@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18776
c/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
value@https://connect.facebook.net/en_US/fbevents.js:25:10949
value@https://connect.facebook.net/en_US/fbevents.js:25:10195
value@https://connect.facebook.net/en_US/fbevents.js:25:9821
C@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:27:47216
C/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:27:47023",window.document.cookie,get,_sce=1; _ga=GA1.2.1340102085.1557963998; _gid=GA1.2.1683937453.1557963998; _gat_UA-11787356-6=1; _fbp=fb.1.1557963998556.1282726948; _hjIncludedInSample=1,,2019-05-15T23:46:40.184Z,http://www.helmond.nl ,http://www.helmond.nl ,facebook.net
2493,v,https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable,https://www.helmond.nl/Inwoner,"v@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18106
w@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18255
A@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:18787
c/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
value@https://connect.facebook.net/en_US/fbevents.js:25:10949
value@https://connect.facebook.net/en_US/fbevents.js:25:10195
value@https://connect.facebook.net/en_US/fbevents.js:25:9821
C@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:27:47216
C/<@https://connect.facebook.net/signals/config/1684063781656834?v=2.8.47&r=stable:27:47023",window.document.cookie,set,"_fbp=fb.1.1557963998556.1282726948;expires=Tue, 13 Aug 2019 23:46:40 GMT;domain=.helmond.nl;path=/",,2019-05-15T23:46:40.184Z,http://www.helmond.nl ,http://www.helmond.nl ,facebook.net
3669,v,https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable,https://www.visitleiden.nl/nl/landingpage,"v@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18106
x@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18408
A@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18821
c/<@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
Z@https://connect.facebook.net/en_US/fbevents.js:25:41777
W@https://connect.facebook.net/en_US/fbevents.js:25:40837
ha@https://connect.facebook.net/en_US/fbevents.js:25:40640
S@https://connect.facebook.net/en_US/fbevents.js:25:37071
ja@https://connect.facebook.net/en_US/fbevents.js:25:41990
@https://connect.facebook.net/en_US/fbevents.js:25:42532
value/<@https://connect.facebook.net/en_US/fbevents.js:25:13089
r@https://connect.facebook.net/en_US/fbevents.js:24:3725
each@https://connect.facebook.net/en_US/fbevents.js:24:5112
value@https://connect.facebook.net/en_US/fbevents.js:25:13052
value@https://connect.facebook.net/en_US/fbevents.js:25:13332
la@https://connect.facebook.net/en_US/fbevents.js:25:42491
@https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.8.47:21:5",window.document.cookie,set,"_fbp=fb.0.1557967197061.614780498;expires=Wed, 14 Aug 2019 00:39:57 GMT;domain=.nl;path=/",,2019-05-16T00:39:57.198Z,http://www.leiden.nl ,http://www.leiden.nl ,facebook.net
3669,v,https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable,https://www.visitleiden.nl/nl/landingpage,"v@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18106
x@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18408
A@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18821
c/<@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
Z@https://connect.facebook.net/en_US/fbevents.js:25:41777
W@https://connect.facebook.net/en_US/fbevents.js:25:40837
ha@https://connect.facebook.net/en_US/fbevents.js:25:40640
S@https://connect.facebook.net/en_US/fbevents.js:25:37071
ja@https://connect.facebook.net/en_US/fbevents.js:25:41990
@https://connect.facebook.net/en_US/fbevents.js:25:42532
value/<@https://connect.facebook.net/en_US/fbevents.js:25:13089
r@https://connect.facebook.net/en_US/fbevents.js:24:3725
each@https://connect.facebook.net/en_US/fbevents.js:24:5112
value@https://connect.facebook.net/en_US/fbevents.js:25:13052
value@https://connect.facebook.net/en_US/fbevents.js:25:13332
la@https://connect.facebook.net/en_US/fbevents.js:25:42491
@https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.8.47:21:5",window.document.cookie,set,"_fbp=fb.1.1557967197061.614780498;expires=Wed, 14 Aug 2019 00:39:57 GMT;domain=.visitleiden.nl;path=/",,2019-05-16T00:39:57.199Z,http://www.leiden.nl ,http://www.leiden.nl ,facebook.net
3669,s,https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable,https://www.visitleiden.nl/nl/landingpage,"s@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:17778
x@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18427
A@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18821
c/<@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:19179
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
Z@https://connect.facebook.net/en_US/fbevents.js:25:41777
W@https://connect.facebook.net/en_US/fbevents.js:25:40837
ha@https://connect.facebook.net/en_US/fbevents.js:25:40640
S@https://connect.facebook.net/en_US/fbevents.js:25:37071
ja@https://connect.facebook.net/en_US/fbevents.js:25:41990
@https://connect.facebook.net/en_US/fbevents.js:25:42532
value/<@https://connect.facebook.net/en_US/fbevents.js:25:13089
r@https://connect.facebook.net/en_US/fbevents.js:24:3725
each@https://connect.facebook.net/en_US/fbevents.js:24:5112
value@https://connect.facebook.net/en_US/fbevents.js:25:13052
value@https://connect.facebook.net/en_US/fbevents.js:25:13332
la@https://connect.facebook.net/en_US/fbevents.js:25:42491
@https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.8.47:21:5",window.document.cookie,get,PHPSESSID=r4vbr4og5jao98isq4qu1uoohe; _ga=GA1.2.1439837468.1557967197; _gid=GA1.2.466017198.1557967197; _gat_UA-20679488-6=1; _fbp=fb.1.1557967197061.614780498,,2019-05-16T00:39:57.199Z,http://www.leiden.nl ,http://www.leiden.nl ,facebook.net
3669,s,https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable,https://www.visitleiden.nl/nl/landingpage,"s@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:17778
t@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:17965
z@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:18642
c/<@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:26:19154
value/<@https://connect.facebook.net/en_US/fbevents.js:25:5607
value@https://connect.facebook.net/en_US/fbevents.js:25:5539
b/this.trigger@https://connect.facebook.net/en_US/fbevents.js:25:4976
Y@https://connect.facebook.net/en_US/fbevents.js:25:41374
value@https://connect.facebook.net/en_US/fbevents.js:25:10949
value@https://connect.facebook.net/en_US/fbevents.js:25:10195
value@https://connect.facebook.net/en_US/fbevents.js:25:9821
C@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:27:47216
C/<@https://connect.facebook.net/signals/config/806847392797274?v=2.8.47&r=stable:27:47023",window.document.cookie,get,PHPSESSID=r4vbr4og5jao98isq4qu1uoohe; _ga=GA1.2.1439837468.1557967197; _gid=GA1.2.466017198.1557967197; _gat_UA-20679488-6=1; _fbp=fb.1.1557967197061.614780498,,2019-05-16T00:39:58.689Z,http://www.leiden.nl ,http://www.leiden.nl ,facebook.net
