script_url_tld,parent_url
google-analytics.com,3543
simanalytics.nl,1451
readspeaker.com,830
siteimproveanalytics.com,606
siteimprove.com,215
sooqr.com,147
cobrowser.com,119
livecom.net,57
hotjar.com,34
brummen.nl,29
browsealoud.com,27
westervoort.nl,26
halderberge.nl,26
vijfheerenlanden.nl,25
vlissingen.nl,24
facebook.net,24
heusden.nl,22
sittard-geleen.nl,22
gemeentehulst.nl,22
elburg.nl,22
beuningen.nl,22
eemnes.nl,22
hellevoetsluis.nl,22
blaricum.nl,22
hilversum.nl,22
hattem.nl,21
pekela.nl,21
noordwijk.nl,21
gouda.nl,21
laren.nl,21
putten.nl,21
gemeentesluis.nl,21
velsen.nl,20
terneuzen.nl,20
renkum.nl,20
opsterland.nl,18
leiderdorp.nl,17
heerde.nl,17
venray.nl,17
s-hertogenbosch.nl,17
drimmelen.nl,16
gemeente-steenbergen.nl,16
heerlen.nl,16
midden-groningen.nl,16
denhelder.nl,15
heerhugowaard.nl,15
oegstgeest.nl,15
nieuwegein.nl,15
gemeentenoordenveld.nl,15
zeist.nl,15
loonopzand.nl,15
landsmeer.nl,15
gemeentebest.nl,15
utrecht.nl,15
rijssen-holten.nl,14
middendrenthe.nl,14
houten.nl,14
zwolle.nl,14
geldrop-mierlo.nl,14
breda.nl,14
purmerend.nl,13
waterland.nl,12
alphen-chaam.nl,11
borne.nl,11
cookiebot.com,11
oude-ijsselstreek.nl,11
bodegraven-reeuwijk.nl,11
taskanalytics.com,11
vught.nl,11
venlo.nl,11
zevenaar.nl,11
gilzerijen.nl,11
duiven.nl,11
roosendaal.nl,11
assen.nl,10
laarbeek.nl,10
voerendaal.nl,10
hillegom.nl,10
zundert.nl,10
lisse.nl,10
alkmaar.nl,10
oostgelre.nl,10
gemeentealtena.nl,10
gemeente-oldambt.nl,10
haarlem.nl,10
enschede.nl,10
rijswijk.nl,10
drechtsteden.nl,10
dongen.nl,10
leusden.nl,10
stadskanaal.nl,10
teylingen.nl,10
someren.nl,9
nissewaard.nl,9
asten.nl,9
amersfoort.nl,9
visualwebsiteoptimizer.com,9
hardenberg.nl,9
ommen.nl,9
emmen.nl,9
kcmsurvey.com,8
dimml.io,7
weert.nl,7
raalte.nl,7
tholen.nl,6
soest.nl,6
lansingerland.nl,6
apeldoorn.nl,6
lelystad.nl,5
bergenopzoom.nl,5
heerenveen.nl,5
haaksbergen.nl,5
hoorn.nl,4
translate.googleapis.com,4
roermond.nl,4
oudewater.nl,4
hellendoorn.nl,4
amsterdam.nl,4
woerden.nl,4
zaanstad.nl,4
leeuwarden.nl,3
haaren.nl,3
reuseldemierden.nl,3
overbetuwe.nl,3
defryskemarren.nl,3
edam-volendam.nl,3
sonenbreugel.nl,3
cobrowser.net,3
boekel.nl,3
vlaardingen.nl,3
baarn.nl,3
waalwijk.nl,3
oss.nl,3
aaenhunze.nl,3
hoogeveen.nl,3
helmond.nl,3
nuenen.nl,3
hengelo.nl,3
sudwestfryslan.nl,2
gemert-bakel.nl,2
diemen.nl,2
arnhem.nl,2
meerssen.nl,2
etten-leur.nl,2
deurne.nl,2
bergendal.nl,2
rozendaal.nl,2
steenwijkerland.nl,2
gemeentewesterveld.nl,2
meierijstad.nl,2
googletagmanager.com,2
alblasserdam.nl,2
middelburg.nl,2
bronckhorst.nl,2
veendam.nl,2
ouder-amstel.nl,2
zwijndrecht.nl,2
smallingerland.nl,2
baarle-nassau.nl,1
meppel.nl,1
beverwijk.nl,1
browsealoud.nl,1
westbetuwe.nl,1
lv.nl,1
wageningen.nl,1
losser.nl,1
tynaarlo.nl,1
koggenland.nl,1
westerwolde.nl,1
winterswijk.nl,1
krimpenaandenijssel.nl,1
wormerland.nl,1
alphenaandenrijn.nl,1
almere.nl,1
almelo.nl,1
zutphen.nl,1
buren.nl,1
oostzaan.nl,1
tubbergen.nl,1
hofvantwente.nl,1
hardinxveld-giessendam.nl,1
olst-wijhe.nl,1
papendrecht.nl,1
haarlemmermeergemeente.nl,1
oldenzaal.nl,1
oisterwijk.nl,1
groningen.nl,1
gennep.nl,1
rheden.nl,1
gemeentelangedijk.nl,1
rucphen.nl,1
gemeenteberkelland.nl,1
noordoostpolder.nl,1
kaagenbraassem.nl,1
echt-susteren.nl,1
sliedrecht.nl,1
drechterland.nl,1
deventer.nl,1
stedebroec.nl,1
stichtsevecht.nl,1
ooststellingwerf.nl,1
moerdijk.nl,1
culemborg.nl,1
coevorden.nl,1
horstaandemaas.nl,1
tiel.nl,1
enkhuizen.nl,1
