script_url_tld,parent_url
google-analytics.com,87130
twimg.com,70032
readspeaker.com,67568
fbcdn.net,65029
simanalytics.nl,56947
instagram.com,47317
youtube.com,38701
siteimproveanalytics.com,14047
licdn.com,11722
lansingerland.nl,9775
cobrowser.com,9072
sooqr.com,8259
hotjar.com,5677
isu.pub,5020
facebook.net,4936
becop.nl,4766
archiefweb.eu,4418
facebook.com,4366
d309knd7es5f10.cloudfront.net,3992
maps.googleapis.com,3477
usabilla.com,3154
fliphtml5.com,2861
siteimprove.com,2841
msecnd.net,2733
nissewaard.nl,2580
ajax.googleapis.com,2413
twitter.com,2326
googlesyndication.com,2146
gemeentebest.nl,1990
gemeentenoordenveld.nl,1900
4meideventer.nl,1796
nobra.nl,1684
amsterdam.nl,1494
google.com,1447
addthis.com,1396
gstatic.com,1362
rijswijk.nl,1350
sudwestfryslan.nl,1285
doubleclick.net,1234
google.nl,1171
sonniuspark.nl,1159
haaren.nl,1144
gemeente-steenbergen.nl,1051
landsmeer.nl,1000
raalte.nl,991
reuseldemierden.nl,974
gemeente-oldambt.nl,820
oegstgeest.nl,798
zwolle.nl,754
vlissingen.nl,713
arcgis.com,612
d20kyoxkb5vbjm.cloudfront.net,591
deventerpost.nl,560
zeeland.nl,545
piwik.pro,525
browser-update.org,514
ytimg.com,497
nederlandslicht.nl,496
oude-ijsselstreek.nl,494
ouder-amstel.nl,482
livecom.net,474
denhelder.nl,462
soest.nl,458
browsealoud.com,457
livecom.com,452
enschede.nl,442
midden-groningen.nl,427
assen.nl,405
dimml.io,395
limburg-veilig.nl,392
opentok.com,388
ibabs.eu,376
pingdom.net,374
slimmelden.nl,374
ervaarmaassluis.nl,374
waterland.nl,373
heumen.nl,365
oostgelre.nl,352
tawk.to,348
adobedtm.com,343
visithaarlem.com,336
heerhugowaard.nl,336
pinimg.com,327
geldrop-mierlo.nl,323
wegwerkmeldingen.nl,317
burgerberichten.nl,312
emmen.nl,308
sonenbreugel.nl,307
linkedin.com,307
instantmagazine.com,304
centraaldeventer.nl,301
nuenen.nl,297
cookiebot.com,293
borne.nl,291
